"platform","author","sentiment","intensity","engagement","engagement_label","created_at","context","url","text"
"hn","jdgoesmarching","negative","0.8","476","story points","2026-08-17T05:06:32Z","HN comment on ""Stripe will reportedly acquire OpenRouter for $7B+""","https://news.ycombinator.com/item?id=49326735","AWS Bedrock doesn’t even try to stay on top of new open source models or their API capabilities. We’ve also run into also kinds of frustrating issues rate limiting and slowness issues. GCP is probably the best alternative now that they have actual spending caps, I believe a lot of Openrouter models are run on GCP. The other popular option is something like LiteLLM, which just has a major vulnerability that left a lot of big corps exposed. After spending a year trying to fight this battle, I’ve decided OpenRouter is worth their cut (and maybe more but don’t tell them)."
"hn","lrvick","negative","0.9","118","story points","2026-08-14T15:28:18Z","HN comment on ""Launch HN: Bullet (YC S26) – A Faster Coding Agent""","https://news.ycombinator.com/item?id=49300096","So I hit download, and I got a .deb file. Installing a .deb requires root. Okay, a coding agent that wants root access. I know almost no one is good at supply chain security unless it is their core business, 2500 companies hacked this week for using LiteLLM, etc. So I look around for source code links and come up empty. So, I am supposed to just give a random binary on a website that may or may not be malware depending on what NPM dependencies are in play, and give it root access, and trust whatever unknown CI/CD system that builds it to be able to execute any commands on my system with root p …[truncated]"
"hn","esseph","negative","1.0","12","story points","2026-08-13T06:21:25Z","HN comment on ""Terabytes of credentials leaked in supply-chain attack""","https://news.ycombinator.com/item?id=49282360","> In all, both security firms said some 434,000 CI/CD (continuous integration/continuous delivery) software pipelines had credentials exposed after running the compromised LiteLLM versions. In many cases, researchers at CloudSEK and Hudson Rock had trouble identifying the organizations the credentials belonged to. For instance, an email address in the dump from the domain @siriusxm.com ultimately didn’t indicate a breach at the satellite broadcaster, but rather one within the infrastructure of SiriusXM subsidiary AdsWizz. Short List: Nvidia Corporation Amazon Web Services (AWS) Samsung Electro …[truncated]"
"hn","plurby","negative","1.0","6","points","2026-08-12T23:17:13Z","HN story","https://news.ycombinator.com/item?id=49279862","LiteLLM supply chain attack hit 2,488 organisations (https://twitter.com/IntCyberDigest/status/2087581727619162296)"
